beta,delta,mape
0.6176,1.1864,7.261834621429443
0.6176,1.2180,7.7549824714660645
0.6492,0.2700,0.10235811769962311
0.6492,0.3016,0.12534867227077484
0.6492,0.3332,0.15761739015579224
0.6492,0.3648,0.18029522895812988
0.6492,0.3964,0.15293675661087036
0.6492,0.4280,0.08334986865520477
0.6492,0.4596,0.15762661397457123
0.6492,0.4912,0.05849100276827812
0.6492,0.5228,0.19010812044143677
0.6492,0.5544,0.10882100462913513
0.6492,0.5860,0.08138474076986313
0.6492,0.6176,0.07824008166790009
0.6492,0.6492,0.08117356896400452
0.6492,0.6808,0.08979905396699905
0.6492,0.7124,0.10629567503929138
0.6492,0.7440,0.1260061264038086
0.6492,0.7756,0.14169691503047943
0.6492,0.8072,0.15156668424606323
0.6492,0.8388,0.18158701062202454
0.6492,0.8704,0.1792195737361908
0.6492,0.9020,0.1681886911392212
0.6492,0.9336,0.15436005592346191
0.6492,0.9652,0.1307995617389679
0.6492,0.9968,5.236907958984375
0.6492,1.0284,5.620785236358643
0.6492,1.0600,6.015829086303711
0.6492,1.0916,6.387440204620361
0.6492,1.1232,6.792819023132324
0.6492,1.1548,7.202695846557617
0.6492,1.1864,7.5519328117370605
0.6492,1.2180,8.031676292419434
0.6808,0.2700,0.11236421018838882
0.6808,0.3016,0.11599181592464447
0.6808,0.3332,0.13915665447711945
0.6808,0.3648,0.16360242664813995
0.6808,0.3964,0.14293254911899567
0.6808,0.4280,0.09103767573833466
0.6808,0.4596,0.07073931396007538
0.6808,0.4912,0.061586592346429825
0.6808,0.5228,0.05937075987458229
0.6808,0.5544,0.06139228120446205
0.6808,0.5860,0.18218915164470673
0.6808,0.6176,0.11755398660898209
0.6808,0.6492,0.11090779304504395
0.6808,0.6808,0.12052274495363235
0.6808,0.7124,0.1384686678647995
0.6808,0.7440,0.15895098447799683
0.6808,0.7756,0.17863623797893524
0.6808,0.8072,0.1939389407634735
0.6808,0.8388,0.20812362432479858
0.6808,0.8704,0.26083648204803467
0.6808,0.9020,0.2392059564590454
0.6808,0.9336,0.20499871671199799
0.6808,0.9652,0.16799624264240265
0.6808,0.9968,0.15582774579524994
0.6808,1.0284,5.822235107421875
0.6808,1.0600,6.279836177825928
0.6808,1.0916,6.7409772872924805
0.6808,1.1232,7.205175876617432
0.6808,1.1548,7.557348728179932
0.6808,1.1864,8.00737190246582
0.6808,1.2180,8.436468124389648
0.7124,0.2700,0.13352397084236145
0.7124,0.3016,0.10941118746995926
0.7124,0.3332,0.11317122727632523
0.7124,0.3648,0.13303683698177338
0.7124,0.3964,0.1187271699309349
0.7124,0.4280,0.08933773636817932
0.7124,0.4596,0.06563171744346619
0.7124,0.4912,0.05468321219086647
0.7124,0.5228,0.062411848455667496
0.7124,0.5544,0.058809489011764526
0.7124,0.5860,0.06248897314071655
0.7124,0.6176,0.2818509340286255
0.7124,0.6492,0.16662824153900146
0.7124,0.6808,0.1635495275259018
0.7124,0.7124,0.17867490649223328
0.7124,0.7440,0.200001060962677
0.7124,0.7756,0.2220182716846466
0.7124,0.8072,0.2417929768562317
0.7124,0.8388,0.25786319375038147
0.7124,0.8704,0.2699902355670929
0.7124,0.9020,0.2662534713745117
0.7124,0.9336,0.2758549153804779
0.7124,0.9652,0.22292977571487427
0.7124,0.9968,0.19246070086956024
0.7124,1.0284,0.18316078186035156
0.7124,1.0600,0.18464960157871246
0.7124,1.0916,7.070633411407471
0.7124,1.1232,7.639949321746826
0.7124,1.1548,8.22890567779541
0.7124,1.1864,8.45689868927002
0.7124,1.2180,8.979354858398438
0.7440,0.2700,0.144187793135643
0.7440,0.3016,0.0982741117477417
0.7440,0.3332,0.08430210500955582
0.7440,0.3648,0.09432519972324371
0.7440,0.3964,0.0888984277844429
0.7440,0.4280,0.08263865113258362
0.7440,0.4596,0.07758612930774689
0.7440,0.4912,0.062328677624464035
0.7440,0.5228,0.06156536564230919
0.7440,0.5544,0.9914633631706238
0.7440,0.5860,0.05983710289001465
0.7440,0.6176,1.1285207271575928
0.7440,0.6492,0.24155449867248535
0.7440,0.6808,0.24358955025672913
0.7440,0.7124,0.2539987564086914
0.7440,0.7440,0.2738066613674164
0.7440,0.7756,0.2984161674976349
0.7440,0.8072,0.3246714770793915
0.7440,0.8388,0.2791670858860016
0.7440,0.8704,0.2697729766368866
0.7440,0.9020,0.25743311643600464
0.7440,0.9336,0.24240368604660034
0.7440,0.9652,0.23191407322883606
0.7440,0.9968,0.21716518700122833
0.7440,1.0284,0.19853690266609192
0.7440,1.0600,0.20336776971817017
0.7440,1.0916,0.22388051450252533
0.7440,1.1232,0.25455957651138306
0.7440,1.1548,0.25663018226623535
0.7440,1.1864,8.814738273620605
0.7440,1.2180,9.236069679260254
0.7756,0.2700,0.15976594388484955
0.7756,0.3016,0.08737702667713165
0.7756,0.3332,0.060033611953258514
0.7756,0.3648,0.058453693985939026
0.7756,0.3964,0.06482847034931183
0.7756,0.4280,0.0766802728176117
0.7756,0.4596,0.08222044259309769
0.7756,0.4912,0.07979096472263336
0.7756,0.5228,0.06422334909439087
0.7756,0.5544,0.05402378365397453
0.7756,0.5860,0.05231935530900955
0.7756,0.6176,0.0681610032916069
0.7756,0.6492,0.16676682233810425
0.7756,0.6808,0.18635429441928864
0.7756,0.7124,0.206157848238945
0.7756,0.7440,0.22596803307533264
0.7756,0.7756,0.24515199661254883
0.7756,0.8072,0.2602301239967346
0.7756,0.8388,0.2718098759651184
0.7756,0.8704,0.2794063091278076
0.7756,0.9020,0.27859777212142944
0.7756,0.9336,0.2724972367286682
0.7756,0.9652,0.2566472589969635
0.7756,0.9968,0.2462897151708603
0.7756,1.0284,0.24163033068180084
0.7756,1.0600,0.24103805422782898
0.7756,1.0916,0.24448999762535095
0.7756,1.1232,0.25472742319107056
0.7756,1.1548,0.29751724004745483
0.7756,1.1864,0.3318333327770233
0.7756,1.2180,0.4601832330226898
0.8072,0.2700,0.20163820683956146
0.8072,0.3016,0.10594170540571213
0.8072,0.3332,0.06259935349225998
